SMILES,RDL_score,QED,STEP,TERMINATED
N[C@@H](Cc1cc(-c2cccc(Cl)c2)c(O)c(Cl)c1Cl)C(=O)C=O,0.25, 0.6198426465944247),10940,TRUE
N[C@@H](Cc1ccc(Cl)cc1)C(=O)C(=O)Nc1nc2ccccc2[nH]1,0.25, 0.6190821509254439),15672,TRUE
[H]N(Cc1cc([H])cc(Cl)c1)[C@@H](Cc1ccc2cccnc2c1C)C(=O)C=O,0.25, 0.5117437436653246),17086,TRUE
C[C@H](N)C(=O)C(=O)N1C[C@H]2CC(c3ccccc3Cl)CC([C@@H]3C[C@H]4CCCC[C@@H]4CN3)[C@@H]2C[C@H]1C,0.25, 0.5848472304216107),17898,TRUE
[H]Nc1cc(Cl)c([H])cc1NC(=O)C(=O)[C@H](C)NC(C)(C)C,0.25, 0.5874719676796183),19053,TRUE
CC(C)CN[C@@H](Cc1cccc(-n2ccnn2)c1Cl)C(=O)C(=O)NC1CCCC1,0.25, 0.6121606750439877),20488,TRUE
N[C@@H](Cc1ccc(-c2c(F)cc(F)cc2F)cc1)C(=O)C=O,0.25, 0.6814415090462802),22413,TRUE
[H]C(=O)C(=O)[C@@H](N)Cc1ccc2c(c1)cc([H])n2C(=O)Cc1c(F)cc(F)cc1F,0.25, 0.5198539367690694),22476,TRUE
O=C(C(=O)N1C[C@H]2CCC[C@H]2C1)[C@H](CC1CCCC1)NCc1ccc(Cl)cc1,0.25, 0.6949017768807033),22574,TRUE
C[C@H](N)C(=O)C(=O)Nc1cc(Cl)cc(Cl)c1,0.25, 0.8153210331193339),24492,TRUE
[H]OC(=O)C(=O)[C@@H](N)Cc1ccc(Cl)c([H])c1-c1ccccc1,0.25, 0.8317974403820511),25423,TRUE
N#Cc1cccc(CN[C@@H](Cc2cccc3c2[nH]cc3)C(=O)C=O)c1,0.25, 0.5143995936805379),26207,TRUE
N[C@@H](Cc1ccc(F)c(Nc2ccc(Cl)cc2)c1)C(=O)C=O,0.25, 0.6338957953776262),26263,TRUE
N[C@H](C(=O)C=O)C(Oc1ccccc1)c1ccc(Cl)cc1Cl,0.25, 0.6486154729625488),26823,TRUE
N[C@@H](Cc1c(F)ccc(-c2cccc(=O)o2)c1-c1ccc(Cl)cc1)C(=O)C=O,0.25, 0.5064255803140915),27915,TRUE
[H]OC(=O)C(=O)[C@@H](N)Cc1cccc(Cl)c1-c1cccc2ccccc12,0.25, 0.6854651062270153),28601,TRUE
C[C@H](N)C(=O)C(=O)Nc1ccc(-c2cccc(N3CCC4CCCCC4C3)c2)cc1,0.25, 0.7303546799262158),28615,TRUE
O=CC(=O)[C@H](Cc1ccc(C=O)s1)NCc1ccc(Cl)cc1,0.25, 0.5948307695664956),28993,TRUE
[H]N(C(=O)C(=O)[C@H](C)N)c1cc(Cl)cc(Cl)c1,0.25, 0.8153210331193339),29063,TRUE
Cc1cccc(C(c2cc(F)c(F)cc2F)[C@H](N)C(=O)C=O)c1,0.25, 0.5230963315014774),30246,TRUE
N[C@@H](Cc1ccc(-c2ncc(-c3cccs3)s2)cc1)C(=O)C=O,0.25, 0.551470002227098),30274,TRUE
[H]C(=O)C(=O)[C@@H](N)Cc1c(C)ccc(-c2cc(F)c(F)cc2F)c1C,0.25, 0.5189974857929536),30862,TRUE
Cc1csc(C2(N3CCN(C(=O)/C=C/c4ccccc4)CC3)CC[C@@H]3CN(C(=O)/C=C/C(C)N)CC[C@@H]3C2)n1,0.25, 0.5519333193729404),32227,TRUE
O=CC(=O)[C@H](Cc1c(F)cc(F)cc1F)NC1CC2CCCCC2CN1c1cccnc1,0.25, 0.5188545742775039),32276,TRUE
Cn1ccc(NC(=O)C(=O)C(N)CC2CCC(Oc3cncc(Cl)c3)CC2)c1,0.25, 0.6909603600836608),32521,TRUE
[H]N(C(=O)C(=O)[C@H](C)N)c1cccc(N(c2cccc(Cl)c2)C2CCCC2)n1,0.25, 0.7392349048003938),32661,TRUE
N[C@@H](Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)C=O,0.25, 0.6791990355775789),32682,TRUE
[H]c1ccc(OC(=O)C(=O)[C@@H](N)Cc2ccccc2)c(Cl)c1Cl,0.25, 0.5168379674310976),32864,TRUE
[H]C(c1cccc(Cl)c1Cl)(c1cc([H])cc2[nH]c([H])cc12)[C@H](N)C(=O)C=O,0.25, 0.5374456683108992),33172,TRUE
Cc1cc(O)ccc1C(c1c(C)ccc(Oc2ccccc2)c1C)[C@H](N)C(=O)C(N)=O,0.25, 0.5069210326933722),33256,TRUE
CCCc1ccccc1CN[C@@H](C)C(=O)C=O,0.25, 0.5775557934404171),33515,TRUE
O=CC(=O)[C@H](Cc1ccc(F)cc1)NCc1ccc(Cl)cc1,0.25, 0.6302336131025615),33900,TRUE
[H]C[C@H](N)C(=O)C(=O)Nc1ccc(-c2ccccc2)cc1,0.25, 0.8349633896520327),33977,TRUE
Cc1cc(O)ccc1C[C@@H](C(=O)C=O)N(c1cccnc1)[C@@H]1CC2CCCCC2CN1,0.25, 0.5266786795013066),34264,TRUE
C[C@H](NC(C)(C)C)C(=O)C(=O)Nc1c(N[C@@H](C)C(=O)c2nccs2)c(Cl)cc(Cl)c1-c1ccc(Cl)cc1Cl,0.24, 0.17134911143775783),6,TRUE
C[C@H](N)[C@@H](O)[C@H](O)[C@H](C)N(c1oc2cc(O)c(Nc3ccc(N)cc3)c(O)c2c(=O)c1O)C(C)(N)/C=C/C=O,0.24, 0.056860840228708714),13,TRUE
C[C@@H](C(=O)C(=O)N1CCOCC1)N(c1ccc([C@@H]2C[C@H]3CCCC[C@@H]3CN2)c(C#N)c1)c1ccon1,0.24, 0.6126548114798762),20,TRUE
CC(=O)[C@H](CCC(=O)Nc1ccc(C[C@H](N)C(=O)C=O)cc1O[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@@H]1O)NS(=O)(=O)c1ccccn1,0.24, 0.10476135847830714),41,TRUE
[H]Oc1ccc2c(OC(C)C3CC(C[C@H](N)CC)CC3N[C@@H](C)C(=O)C=O)nc3ccccc3c2c1,0.24, 0.22846542885874987),48,TRUE
CC(/C=C/C=O)N[C@@H](C)C(=O)Oc1nc2ccccc2c2cccc(NCc3cc(F)c(F)cc3F)c12,0.24, 0.10321738605654603),55,TRUE
CC(/C=C/C=O)NCc1nc(N)sc1-c1oc2cc(O)c(CS(=O)C3=[SH]c4ncccc4N3)c(O)c2c(=O)c1O,0.24, 0.0674437548722896),62,TRUE
C[C@H](N[C@@H]1OC1Oc1nc2c(-c3ccc(/C=C/C=O)cc3)cccc2c2cc(-c3ccc(Cl)cc3Cl)ccc12)C(=O)C=O,0.24, 0.05944992611985755),97,TRUE
C[C@H](N)[C@@H](O)[C@H](O)[C@H](C)Nc1ccc(Oc2ccc3c(OC(C)(/C=C/C=O)NCC=O)nc4ccccc4c3c2)c(Cl)c1Cl,0.24, 0.05501175104437454),111,TRUE
CC(C)[C@@H](C=O)NC(C)(/C=C/C(=O)NS(=O)(=O)c1ccc(N)cc1)NC(=O)[C@H](CC(C)(C)[C@@H]1OC1Oc1ccccc1)NC=O,0.24, 0.055494580802940556),125,TRUE
CCCc1cccc2c(OC3CC(N[C@@H](C)C(=O)C(=O)N[C@@H](CCC=O)C(=O)CF)C3)nc3ccccc3c12,0.24, 0.18334527797948813),132,TRUE
CC(C)C(=O)N(c1cccc(C[C@H](N)C=O)c1)c1ccc2nnn(OC(=O)C(=O)[C@H](C)N)c2c1,0.24, 0.2622242606829323),139,TRUE
CC(C)CN[C@H](C(=O)NC(/C=C/C=O)C(Oc1nc2ccccc2c2ccccc12)c1cccc(N)c1)C(C)(C)C,0.24, 0.09133655706672111),167,TRUE
CC(N)(/C=C/C=O)c1c(-c2cncc(Br)c2)[nH]c2c(Oc3nc4ccccc4c4ccccc34)cccc12,0.24, 0.12503488600553378),174,TRUE
CC(/C=C/C=O)(NC(=O)c1cc2cc(F)ccc2[nH]1)c1ccc(Cl)cc1Oc1cccnc1[C@@H]1C[C@@H]2CCCC[C@@H]2CN1,0.24, 0.14473538676114464),181,TRUE
Cn1ccc(CNC(C)(/C=C/C=O)Oc2nc3ccccc3c3cccc(NS(=O)(=O)C4(C)CC4)c23)c1,0.24, 0.13702670657028662),188,TRUE
CC(N)(/C=C/C(=O)N[C@H](C=O)CCC(C(N)=O)[C@H]1NC[C@@H]2CC(CO)C[C@H]12)N/C(C=O)=C\c1ccco1,0.24, 0.11076264871134703),202,TRUE
[H]NC1CCCC(c2oc3c(N[C@@H](C)C(=O)C(F)(F)F)c(O)cc(O)c3c(=O)c2O)C1NC(=O)C(=O)[C@H](C)N,0.24, 0.14706727414536147),209,TRUE
C[C@H](NC(=O)[C@H](C)C(Nc1ccc(-c2ccccc2)cc1)C(=O)[C@@H](N)C(C)(C)Oc1nc2ccccc2c2ccccc12)C(=O)C=O,0.24, 0.08806052431537548),223,TRUE
C[C@H](NC(=O)c1ccc(-c2ccc(F)cc2)o1)C(=O)C(=O)N[C@H](C=O)CCCC(N)c1c(F)cc(F)cc1F,0.24, 0.17989570400064953),237,TRUE
CC(/C=C/C=O)NC(=O)[C@@H](N)CC(C)(C)Oc1nc2c(OCCc3ccccc3Cl)cccc2c2ccccc12,0.24, 0.12915535819829885),258,TRUE
CCCC12C[C@@H](NC(C)/C=C/C=O)NCC1CCCC2c1cc(=O)c2c(O)c(Nc3onc(C)c3[N+](=O)[O-])c(O)cc2o1,0.24, 0.07024433572463362),286,TRUE
CC(Oc1ccc(C(C)(C)OC(C)(/C=C/C=O)NC(Oc2nc3ccccc3c3ccccc23)c2ccccc2)c(N)c1)C1CCOC1=O,0.24, 0.03327131298883915),293,TRUE
C[C@H](NC(C)(NS(=O)(=O)c1ccc(N)c(Nc2ccc(NC(=O)c3cnccn3)cc2)c1)c1ccc(F)cc1)C(=O)C=O,0.24, 0.06955217610803474),307,TRUE
CC[C@@H](C)[C@@H](C=O)Nc1cccc(Nc2cc(S(=O)(=O)Nc3ccc(=O)oc3C(C)(N)/C=C/C=O)ccc2N)n1,0.24, 0.11522285149941551),314,TRUE
C[C@H](N[C@@H]1CCCN1)C(=O)C(=O)N1CC(c2ccc3[nH]ccc3c2)OCC1On1nnc2ccccc21,0.24, 0.3242902716775204),321,TRUE
CCCc1sc(N)nc1CN(C(N[C@@H](C)CCC=O)c1ccccc1)[C@@H](C)C(=O)C(=O)OC,0.24, 0.18555587595062567),335,TRUE
CC(=O)n1c(CN)cc2cc(-c3cc(C)nnc3NCC(=O)NC(C)(/C=C/C=O)c3ccccn3)ccc21,0.24, 0.2295844726582335),342,TRUE
CC(/C=C/C(=O)N[C@@H](C(C)C)[C@@H](O)C[C@@H](C)C=O)N[C@@H]1C[C@H]2CCCC[C@@H]2[C@@H](Cc2ccc(Cl)cc2Cl)O1,0.24, 0.22229676732187242),349,TRUE
N[C@@H](Cc1cncc(Oc2nc3ccccc3c3c(-c4ccccc4[N+](=O)[O-])c(-c4ccccc4)ccc23)c1)C(=O)C=O,0.24, 0.06897767563301634),363,TRUE
[H]Nc1cc(/C=C/C(=O)N[C@@H](C)C(=O)C(=O)Nc2nc3ccccc3[nH]2)cc2c1OCO2,0.24, 0.2682955131985623),370,TRUE
C[C@H](N[C@H](C)[C@H](C)NCc1ccn(C)c1-c1c[nH]cn1)C(=O)C(=O)N1C[C@H]2[C@@H](C1)C2(C)C,0.24, 0.5182468063611748),391,TRUE
CC(/C=C/C=O)N(CCn1ccnn1)[C@H]1NCC2(c3cccc(/C=C/C=O)c3)CCCCC2C1N1C[C@H]2[C@@H](C1)C2(C)C,0.24, 0.3236318627639446),412,TRUE
CCC(C)(C)Nc1ccc(CN)c2c(NC(C)(/C=C/C=O)NC(C)=O)c(N[C@H](C=O)CCCC(N)=O)[nH]c12,0.24, 0.09865139416954154),419,TRUE
CC(N)(/C=C/C=O)c1nc(C(F)(F)F)[nH]c1Oc1nc2ccccc2c2cc(-c3cccc([N+](=O)[O-])c3)ccc12,0.24, 0.07877918724590117),440,TRUE
CCN[C@@H](C)C(=O)C(=O)Oc1nc2cccc(-c3ccc(NCC(O)C(C)N)cc3)c2c2ccccc12,0.24, 0.1476820477828122),447,TRUE
C[C@H]1O[C@@H](OC(C)(N)/C=C/C(=O)OC(C)(Cc2ccc(C(=O)C(F)F)o2)NCC=O)[C@@H](O)[C@@H](O)[C@@H]1O,0.24, 0.07738015304948481),468,TRUE
CC(/C=C/C=O)(NCc1ccc([N+](=O)[O-])cc1Oc1nc2ccccc2c2ccccc12)Oc1cccc(Cl)c1Cl,0.24, 0.0439885910020805),482,TRUE
Cc1cccc(C)c1Oc1ccc2c(OC(C)(/C=C/C=O)Nc3ccc(Cl)cc3)nc3c([C@H](N)C=O)cccc3c2c1,0.24, 0.07589318170299562),489,TRUE
CC1C(=O)OC[C@@H]1N[C@@H](C)C(=O)C(=O)N[C@H](C(=O)C[C@@H](C)C=O)C(C)(C)c1ccc(O)c(Cl)c1Cl,0.24, 0.2257008023155701),510,TRUE
CNC(=O)C(=O)[C@@H](N)C([C@@H]1OC1(NC(C)C(=O)C(F)(F)F)C(=O)/C=C(\O)C(=O)O)N1CC[C@@H]2CCCC[C@@H]2C1,0.24, 0.09703761113820554),517,TRUE
C=C(CC)C(=O)c1ccccc1-c1ccc(N=Cc2ncoc2O)c(C(C)(/C=C/C=O)NC(=O)[C@@H](N)C(C)(C)C)c1,0.24, 0.12380797729403373),524,TRUE
C[C@H](NC(=O)CC[C@@H](C=O)Nc1c[nH]c(C(F)F)n1)C(=O)C(=O)NC1CCCC1,0.24, 0.3186659206943415),531,TRUE
C[C@H](O)[C@H](N)C(=O)N(c1c(O)c(Cl)cc(Cl)c1Cl)C(C)(/C=C/C=O)N1C[C@H]2CC(C(F)F)CC[C@@H]2C[C@H]1C,0.24, 0.21484869922235336),538,TRUE
CC(/C=C/C(=O)N[C@H](C(=O)CF)C(CC=O)c1ccc(C=O)s1)NCC(=O)Oc1nc2ccccc2c2ccccc12,0.24, 0.09731538977436273),545,TRUE
CC[C@H](C)c1cc(O)cc(-c2ccc(C(N)(/C=C/C=O)Cc3ccn(C)c3Oc3nc4ccccc4c4ccccc34)cc2)c1,0.24, 0.0940739564415145),559,TRUE
C[C@H](NC(=O)/C=C/c1ccccc1N[C@@H](C)[C@H](O)Cn1ccc2ncnc-2c1)C(=O)C=O,0.24, 0.25041460485920175),566,TRUE
C[C@@H](/C=C/C(=O)N[C@@H](C)C(=O)C=O)NC1C[C@H](OC(=O)C(=O)[C@H](C)N)CO1,0.24, 0.1744628001519769),573,TRUE
C[C@H](NC(C)(/C=C/C=O)NC(=O)/C=C/c1cccc(-c2cc(C3CCCCC3)c(C=O)o2)c1)C(=O)C=O,0.24, 0.19262137756884332),580,TRUE
CC(=O)C(=O)C(NC(=O)C(=O)[C@H](C)N[C@@H](CCc1oc2cccc(O)c2c(=O)c1O)C(=O)O)[C@@H](C)O,0.24, 0.19403718332517286),587,TRUE
CC(C)C[C@@H](C(=O)NC(C)(/C=C/C=O)Nc1ccc(Cl)cc1-c1cccs1)C(=O)[C@@H](N)[C@@H](C)O,0.24, 0.1495646819049173),601,TRUE
CC(C)C[C@@H](C(=O)NC(C)(/C=C/C=O)Oc1nc2ccccc2c2c(CN3C(=O)C(=O)c4cc(F)ccc43)cccc12)C(=O)[C@@H](N)[C@@H](C)O,0.24, 0.04730296892130127),622,TRUE
C[C@H](NC1CC2CC(c3c[nH]c(-n4cc5c(c4)C(=O)C=CC5=O)n3)CCC2(Oc2nc3ccccc3c3ccccc23)CN1)C(=O)C=O,0.24, 0.125455914432721),636,TRUE
Cc1noc(NC(c2ccc(C(=O)NC(C)(/C=C/C=O)c3cccc(/C=C/C=O)c3)s2)C(N)C(=O)C(N)=O)c1[N+](=O)[O-],0.24, 0.06935953810550005),643,TRUE
CC(N)(/C=C/C=O)c1c(N)cccc1Oc1nc2cccc(-c3ccc(Cl)cc3Cl)c2c2ccccc12,0.24, 0.10217598396641697),650,TRUE
C=C[C@@H]1C[C@]1(N)c1cc(Oc2nc3ccccc3c3ccccc23)c2cc(C(=O)N[C@@H](C)C(=O)C=O)[nH]c2c1,0.24, 0.11596287249229985),657,TRUE
CCOc1[nH]c2c(C(C)(N)/C=C/C=O)ccc(-c3c(C)cc(CC[C@H](N)C(=O)O)cc3C)c2c1[C@H](N)C=O,0.24, 0.1784519657347202),664,TRUE
CNC(C)(C)C[C@@H](C=O)C(=O)[C@@H](Nc1ccc2c(c1)nc(OC(C)(N)/C=C/C=O)c1ccccc12)[C@@H](C)O,0.24, 0.08782662024877023),671,TRUE
C=C[C@@H]1C(CC(=O)[C@@H](N)CCC=O)[C@]1(N)CC(C)OC(C)(/C=C/C=O)NC(=O)/C=C/c1ccccc1N[C@H](C=O)CC,0.24, 0.07833703469281886),699,TRUE
CC(N)(/C=C/C=O)N[C@H](CO)C(=O)N[C@H](C(=O)C(F)(F)F)C(CC(=O)O)Oc1nc2ccccc2c2ccccc12,0.24, 0.0867973590062235),706,TRUE
Cc1cc(C(F)(F)F)c(N[C@H](C=O)C(C)C)c(C)c1C[C@H](N)C(=O)C(=O)N[C@@H](CC(C)C)B(O)O,0.24, 0.16747050695416943),713,TRUE
Cc1c(-c2cc3[nH]cnc3cc2C(C)(/C=C/C=O)NC(=O)/C=C/c2ccc(Cl)cc2F)c(-c2nc3ccn(C)cc-3n2)cc2cccnc12,0.24, 0.1272348842837598),720,TRUE
Cc1cc(O)ccc1Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2NC2CCCCC2N[C@@H](C)C(=O)C=O)cc1,0.24, 0.11526404347374085),727,TRUE
