Num.,Cpd.,structure,Smilies,Ki,reference,
11,4-(((2-methoxyphenyl)imino)methyl)-2-phenyloxazol-5-yl acetate,,CC(OC1=C(C=NC2=CC=CC=C2OC)N=C(O1)C3=CC=CC=C3)=O,IC50 :3.3 ¡À 0.2¦Ìmol,"Kuo CJ, Liu HG, Lo YK, Seong CM, Lee KI, Jung YS, Liang PH:
Individual and common inhibitors of coronavirus and
picornavirus main proteases. FEBS Lett 2009, 583:549-555",
12,"1-butyl-N-(4-(3,5-diphenyl-4,5-dihydro-1H-pyrazol-1-yl)benzyl)-1H-benzo[d]imidazol-2-amine",,CCCCN1C(NCC(C=C2)=CC=C2N3C(C4=CC=CC=C4)CC(C5=CC=CC=C5)=N3)=NC6=C1C=CC=C6,IC50 :8.1?¡À?0.9¦Ìmol,"Kuo CJ, Liu HG, Lo YK, Seong CM, Lee KI, Jung YS, Liang PH:
Individual and common inhibitors of coronavirus and
picornavirus main proteases. FEBS Lett 2009, 583:549-555",
13,"N-(4-(3,5-diphenyl-4,5-dihydro-1H-pyrazol-1-yl)benzyl)-1-propyl-1H-benzo[d]imidazol-2-amine",,CCCN1C(C=CC=C2)=C2N=C1NCC(C=C3)=CC=C3N4C(C5=CC=CC=C5)CC(C6=CC=CC=C6)=N4,IC50 :8.0?¡À?0.5¦Ìmol,"Kuo CJ, Liu HG, Lo YK, Seong CM, Lee KI, Jung YS, Liang PH:
Individual and common inhibitors of coronavirus and
picornavirus main proteases. FEBS Lett 2009, 583:549-555",
14,"N-(4-(3,5-diphenyl-4,5-dihydro-1H-pyrazol-1-yl)benzyl)-1-ethyl-1H-benzo[d]imidazol-2-amine",,CCN1C(C=CC=C2)=C2N=C1NCC(C=C3)=CC=C3N4C(C5=CC=CC=C5)CC(C6=CC=CC=C6)=N4,IC50 :8.4?¡À?0.2¦Ìmol,"Kuo CJ, Liu HG, Lo YK, Seong CM, Lee KI, Jung YS, Liang PH:
Individual and common inhibitors of coronavirus and
picornavirus main proteases. FEBS Lett 2009, 583:549-555",
15,"3-(4-bromophenyl)-5-(4-chlorophenyl)-1-(3,4-dichlorophenyl)-4-(1H-imidazol-1-yl)-4,5-dihydro-1H-pyrazole",,ClC(C=C1)=C(Cl)C=C1N2N=C(C3=CC=C(Br)C=C3)C(N4C=CN=C4)C2C5=CC=C(Cl)C=C5,IC50 :2.5?¡À?0.2¦Ìmol,"Kuo CJ, Liu HG, Lo YK, Seong CM, Lee KI, Jung YS, Liang PH:
Individual and common inhibitors of coronavirus and
picornavirus main proteases. FEBS Lett 2009, 583:549-555",
16,"1-(3-(3-iodophenyl)-7-methoxy-3,3a,4,5-tetrahydro-2H-benzo[g]indazol-2-yl)ethan-1-one",,IC1=CC(C2N(C(C)=O)N=C3C4=CC=C(OC)C=C4CCC32)=CC=C1,IC50 :9.8?¡À?0.8¦Ìmol,"Kuo CJ, Liu HG, Lo YK, Seong CM, Lee KI, Jung YS, Liang PH:
Individual and common inhibitors of coronavirus and
picornavirus main proteases. FEBS Lett 2009, 583:549-555",
17,Phenylmercuric acetate,,CC([O-][Hg+]C1=CC=CC=C1)=O,0.7?¡À?0.3¦Ìmol,"Hsu JT, Kuo CJ, Hsieh HP, Wang YC, Huang KK, Lin CP,
Huang PF, Chen X, Liang PH: Evaluation of metal-conjugated
compounds as inhibitors of 3CL protease of SARS-CoV. FEBS
Lett 2004, 574:116-120.",
18,Thimerosal,,CC[Hg]SC1=CC=CC=C1C(O[Na])=O,2.4?¡À?0.2¦Ìmol,"Hsu JT, Kuo CJ, Hsieh HP, Wang YC, Huang KK, Lin CP,
Huang PF, Chen X, Liang PH: Evaluation of metal-conjugated
compounds as inhibitors of 3CL protease of SARS-CoV. FEBS
Lett 2004, 574:116-120.",
19,Hexachlorophene,,ClC1=C(Cl)C=C(Cl)C(O)=C1CCCC2=C(Cl)C(Cl)=CC(Cl)=C2O,13.7?¡À?0.4¦Ìmol,"Hsu JT, Kuo CJ, Hsieh HP, Wang YC, Huang KK, Lin CP,
Huang PF, Chen X, Liang PH: Evaluation of metal-conjugated
compounds as inhibitors of 3CL protease of SARS-CoV. FEBS
Lett 2004, 574:116-120.",
20,Phenylmercuric nitrate?,,[O-][N+]([O-][Hg+]C1=CC=CC=C1)=O,0.3?¡À?0.3¦Ìmol,"Hsu JT, Kuo CJ, Hsieh HP, Wang YC, Huang KK, Lin CP,
Huang PF, Chen X, Liang PH: Evaluation of metal-conjugated
compounds as inhibitors of 3CL protease of SARS-CoV. FEBS
Lett 2004, 574:116-120.",
21,bis((1-oxidopyridin-2-yl)thio)zinc,,[O-][N+]1=CC=CC=C1S[Zn]SC2=CC=CC=[N+]2[O-],0.17?¡À?0.07¦Ìmol,"Hsu JT, Kuo CJ, Hsieh HP, Wang YC, Huang KK, Lin CP,
Huang PF, Chen X, Liang PH: Evaluation of metal-conjugated
compounds as inhibitors of 3CL protease of SARS-CoV. FEBS
Lett 2004, 574:116-120.",
22,N-Ethyl-N-phenyldithiocarbamic acid zinc?,,S=C([SH-][Zn+2][SH-]C(N(CC)C1=CC=CC=C1)=S)N(CC)C2=CC=CC=C2,1.0?¡À?0.1¦Ìmol,"Hsu JT, Kuo CJ, Hsieh HP, Wang YC, Huang KK, Lin CP,
Huang PF, Chen X, Liang PH: Evaluation of metal-conjugated
compounds as inhibitors of 3CL protease of SARS-CoV. FEBS
Lett 2004, 574:116-120.",
23,"Toluene-3,4-dithiolato zinc?",,CC1=CC2=C(S[Zn]S2)C=C1,1.4?¡À?0.2¦Ìmol,"Hsu JT, Kuo CJ, Hsieh HP, Wang YC, Huang KK, Lin CP,
Huang PF, Chen X, Liang PH: Evaluation of metal-conjugated
compounds as inhibitors of 3CL protease of SARS-CoV. FEBS
Lett 2004, 574:116-120.",
24,"dibenzyl ((2S,5S,8S,9R,10R,11S,14S,17S)-8,11-dibenzyl-9,10-dihydroxy-5,14-diisopropyl-3,6,13,16-tetraoxo-4,7,12,15-tetraazaoctadecane-2,17-diyl)dicarbamate",,O=C(N[C@@H](C)C(N[C@@H](C(C)C)C(N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@@H]([C@H](CC2=CC=CC=C2)NC([C@H](C(C)C)NC([C@H](C)NC(OCC3=CC=CC=C3)=O)=O)=O)O)=O)=O)OCC4=CC=CC=C4,0.6¦Ìmol,"Wu, C.Y., Jan, J.T., Ma, H.H., Kuo, C.J., Juan, H.F., Cheng, Y.S., Hsu, H.H.,
Wu, D., Brik, A., Liu, R.S. et al. (2004) Small molecules targeting severe
acute respiratory syndrome (SARS) human coronavirus. Proc. Natl. Acad.
Sci. U.S.A. 101, 10012¨C10017",
25,"N-(3,5-dichlorophenyl)-2-((4-(2-phenylthiazol-4-yl)pyrimidin-2-yl)thio)acetamide",,ClC1=CC(NC(CSC2=NC=CC(C3=CSC(C4=CC=CC=C4)=N3)=N2)=O)=CC(Cl)=C1,IC50=3¦Ìmol,"Tsai, K.C., Chen, S.Y., Liang, P.H., Luo, I.L., Mahindroo, N., Hsieh, S.P.,
Chao, Y.S., Lien, W., Lin, T.H. and Wu, S.Y. (2006) Discovery of a novel
family of SARS-CoV protease inhibitors by virtual screening and 3D-QSAR
studies. J. Med. Chem. 49, 3485¨C3495",
26,"1,2-dichloro-3-((2,6-dinitro-4-(trifluoromethyl)phenyl)sulfonyl)-5-methylbenzene",,O=S(C1=C(Cl)C(Cl)=CC(C)=C1)(C2=C([N+]([O-])=O)C=C(C(F)(F)F)C=C2[N+]([O-])=O)=O,IC50=0.3¦Ìmol,"Lu, I.L., Mahindroo, N., Liang, P.H., Kuo, C.J., Hsieh, H.P., Chao, Y.S. and
Wu, S.Y. (2006) Structure-based drug design and structural biology study
of novel nonpeptide inhibitors of SARS-CoV main protease. J. Med. Chem.
49, 5154¨C5161",
27,"(2R)-6,8-dihydroxy-3-(1,2,8-trihydroxy-9-oxo-4-((3S)-3,5,7-trihydroxychroman-2-yl)-6,7,8,9-tetrahydro-5H-benzo[7]annulen-6-yl)-1,2,3,4-tetrahydronaphthalen-2-yl 3,4,5-trihydroxybenzoate",,O=C(C(C(O)=C(O)C=C1C2[C@@H](O)CC(C(O)=CC(O)=C3)=C3O2)=C1C4)C(O)CC4C5[C@H](OC(C6=CC(O)=C(O)C(O)=C6)=O)CC7=C(O)C=C(O)C=C7C5,IC50=7¦Ìmol,"Chen, C.N., Lin, C.P.-C., Huang, K.K., Chen, W.C., Jiang, W.T., Hsieh, H.P.,
Liang, P.H. and Hsu, J.T.-A. (2005) Inhibition of SARS-CoV 3C-Like
protease activity by natural products. Evidence-based Complementary
Altern. Med. 2, 209¨C215",
28,"(1R,3aS,5aR,5bR,9S,11aR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-3aH-cyclopenta[a]chrysene-3a-carboxylic acid",,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CCC4[C@@]3(C)CC[C@]5(C(O)=O)C4[C@H](C(C)=C)CC5)C1(C)C,8.2 ¦ÌM,"Wen, C.C., Kuo, Y.H., Jan, J.T., Liang, P.H., Wang, S.Y., Liu, H.G., Lee, C.K.,
Chang, S.T., Kuo, C.J., Lee, S.S. et al. (2006) Specific plant terpenoids and
lignins possess potent antiviral activities against severe acute respiratory
syndrome coronavirus. J. Med. Chem. 50, 4087¨C4095",
29,"(4R)-3,4-bis(benzo[d][1,3]dioxol-5-ylmethyl)dihydrofuran-2(3H)-one",,O=C1OC[C@H](CC2=CC=C(OCO3)C3=C2)C1CC4=CC(OCO5)=C5C=C4,9.1 ¦ÌM,"Wen, C.C., Kuo, Y.H., Jan, J.T., Liang, P.H., Wang, S.Y., Liu, H.G., Lee, C.K.,
Chang, S.T., Kuo, C.J., Lee, S.S. et al. (2006) Specific plant terpenoids and
lignins possess potent antiviral activities against severe acute respiratory
syndrome coronavirus. J. Med. Chem. 50, 4087¨C4095",
30,"4-(4-chlorophenyl)-2-((4-nitrobenzyl)thio)-6-oxo-1,6-dihydropyrimidine-5-carbonitrile",,ClC(C=C1)=CC=C1C(N=C(SCC2=CC=C([N+]([O-])=O)C=C2)N3)=C(C#N)C3=O,IC50=6.1 ¦ÌM,"Ramajayam, R., Tan, K.P., Liu, H.G. and Liang, P.H. (2010) Synthesis,
docking studies, and evaluation of pyrimidines as inhibitors of SARS-CoV
3CL protease. Bioorg. Med. Chem. Lett. 20, 3569¨C3572",
31,"(Z)-4-((1-(3-nitrophenyl)-5-oxo-3-phenyl-1,5-dihydro-4H-pyrazol-4-ylidene)methyl)benzoic acid",,O=C1/C(C(C2=CC=CC=C2)=NN1C3=CC=CC([N+]([O-])=O)=C3)=C\C4=CC=C(C(O)=O)C=C4,IC50=8.4 ¦ÌM,"Ramajayam, R., Tan, K.P., Liu, H.G. and Liang, P.H. (2010) Synthesis and
evaluation of pyrazolone compounds as SARS coronavirus 3C-like
protease inhibitors. Bioorg. Med. Chem. 18, 7849¨C7854",
32,"(Z)-4-((1-(4-fluorophenyl)-5-oxo-3-phenyl-1,5-dihydro-4H-pyrazol-4-ylidene)methyl)benzoic acid",,O=C1/C(C(C2=CC=CC=C2)=NN1C3=CC=C(F)C=C3)=C\C4=CC=C(C(O)=O)C=C4,IC50=6.8 ¦ÌM,"Ramajayam, R., Tan, K.P., Liu, H.G. and Liang, P.H. (2010) Synthesis and
evaluation of pyrazolone compounds as SARS coronavirus 3C-like
protease inhibitors. Bioorg. Med. Chem. 18, 7849¨C7854",
33,"(Z)-4-((1-(4-cyanophenyl)-5-oxo-3-phenyl-1,5-dihydro-4H-pyrazol-4-ylidene)methyl)benzoic acid",,O=C1/C(C(C2=CC=CC=C2)=NN1C3=CC=C(C#N)C=C3)=C\C4=CC=C(C(O)=O)C=C4,IC50=5.5 ¦ÌM,"Ramajayam, R., Tan, K.P., Liu, H.G. and Liang, P.H. (2010) Synthesis and
evaluation of pyrazolone compounds as SARS coronavirus 3C-like
protease inhibitors. Bioorg. Med. Chem. 18, 7849¨C7854",
34,"1H-benzo[d][1,2,3]triazol-1-yl 2-aminobenzoate",,O=C(C1=CC=CC=C1N)ON2N=NC3=CC=CC=C32,19.5nM,"Wu CY, King KY, Kuo CJ, Fang JM, Wu YT, Ho MY, Liao CL,
Shie JJ, Liang PH, Wong CH: Stable benzotriazole esters as
mechanism-based inactivators of the severe acute respiratory
syndrome 3CL protease. Chem Biol 2006, 13:261-268.",
35,"1H-benzo[d][1,2,3]triazol-1-yl 4-(dimethylamino)benzoate",,O=C(C1=CC=C(N(C)C)C=C1)ON2N=NC3=CC=CC=C32,17.4nM,"Wu CY, King KY, Kuo CJ, Fang JM, Wu YT, Ho MY, Liao CL,
Shie JJ, Liang PH, Wong CH: Stable benzotriazole esters as
mechanism-based inactivators of the severe acute respiratory
syndrome 3CL protease. Chem Biol 2006, 13:261-268.",form a covalent bond
36,"1H-benzo[d][1,2,3]triazol-1-yl 4-(methyl-l2-azaneyl)benzoate",,O=C(C1=CC=C([N]C)C=C1)ON2N=NC3=CC=CC=C32,12.1nM,"Wu CY, King KY, Kuo CJ, Fang JM, Wu YT, Ho MY, Liao CL,
Shie JJ, Liang PH, Wong CH: Stable benzotriazole esters as
mechanism-based inactivators of the severe acute respiratory
syndrome 3CL protease. Chem Biol 2006, 13:261-268.",
37,"1H-benzo[d][1,2,3]triazol-1-yl 4-(diethylamino)benzoate",,O=C(C1=CC=C(N(CC)CC)C=C1)ON2N=NC3=CC=CC=C32,11.1nM,"Wu CY, King KY, Kuo CJ, Fang JM, Wu YT, Ho MY, Liao CL,
Shie JJ, Liang PH, Wong CH: Stable benzotriazole esters as
mechanism-based inactivators of the severe acute respiratory
syndrome 3CL protease. Chem Biol 2006, 13:261-268.",
38,"1H-benzo[d][1,2,3]triazol-1-yl 1H-benzo[d]imidazole-5-carboxylate",,O=C(C1=CC=C(NC=N2)C2=C1)ON3N=NC4=CC=CC=C43,22.9nM,"Wu CY, King KY, Kuo CJ, Fang JM, Wu YT, Ho MY, Liao CL,
Shie JJ, Liang PH, Wong CH: Stable benzotriazole esters as
mechanism-based inactivators of the severe acute respiratory
syndrome 3CL protease. Chem Biol 2006, 13:261-268.",
39,"1H-benzo[d][1,2,3]triazol-1-yl 5-fluoro-1H-indole-2-carboxylate",,O=C(C1=CC(C=C(F)C=C2)=C2N1)ON3N=NC4=CC=CC=C43,13.8nM,"Wu CY, King KY, Kuo CJ, Fang JM, Wu YT, Ho MY, Liao CL,
Shie JJ, Liang PH, Wong CH: Stable benzotriazole esters as
mechanism-based inactivators of the severe acute respiratory
syndrome 3CL protease. Chem Biol 2006, 13:261-268.",
40,"1H-benzo[d][1,2,3]triazol-1-yl 1H-indole-2-carboxylate",,O=C(C1=CC(C=CC=C2)=C2N1)ON3N=NC4=CC=CC=C43,12.3nM,"Wu CY, King KY, Kuo CJ, Fang JM, Wu YT, Ho MY, Liao CL,
Shie JJ, Liang PH, Wong CH: Stable benzotriazole esters as
mechanism-based inactivators of the severe acute respiratory
syndrome 3CL protease. Chem Biol 2006, 13:261-268.",
41,"N-(3,5-dichlorophenyl)-2-((4-(2-phenylthiazol-4-yl)pyrimidin-2-yl)thio)acetamide",,O=C(CSC1=NC=CC(C2=CSC(C3=CC=CC=C3)=N2)=N1)NC4=CC(Cl)=CC(Cl)=C4,IC50=3¦ÌM,"Tsai KC, Chen SY, Liang PH, Lu IL, Mahindroo N, Hsieh HP,
Chao YS, Liu L, Liu D, Lien W et al.: Discovery of a novel family of
SARS-CoV protease inhibitors by virtual screening and 3DQSAR
studies. J Med Chem 2006, 49:3485-3495.",
42,N-(4-chlorophenyl)-2-((4-(5-(1-methyl-5-(trifluoromethyl)-1H-pyrazol-3-yl)thiophen-2-yl)pyrimidin-2-yl)thio)acetamide,,O=C(CSC1=NC=CC(C2=CC=C(C3=NN(C)C(C(F)(F)F)=C3)S2)=N1)NC4=CC=C(Cl)C=C4,IC50=10¦ÌM,"Tsai KC, Chen SY, Liang PH, Lu IL, Mahindroo N, Hsieh HP,
Chao YS, Liu L, Liu D, Lien W et al.: Discovery of a novel family of
SARS-CoV protease inhibitors by virtual screening and 3DQSAR
studies. J Med Chem 2006, 49:3485-3495.",
43,N-(4-chlorophenyl)-2-((4-(4-methyl-5-(4-methylthiazol-2-yl)-2-(methylthio)thiophen-3-yl)pyrimidin-2-yl)thio)acetamide,,O=C(CSC1=NC=CC(C2=C(SC)SC(C3=NC(C)=CS3)=C2C)=N1)NC4=CC=C(Cl)C=C4,IC50=11¦ÌM,"Tsai KC, Chen SY, Liang PH, Lu IL, Mahindroo N, Hsieh HP,
Chao YS, Liu L, Liu D, Lien W et al.: Discovery of a novel family of
SARS-CoV protease inhibitors by virtual screening and 3DQSAR
studies. J Med Chem 2006, 49:3485-3495.",
44,N-(2-chlorophenyl)-2-((4-(4-methyl-5-(4-methylthiazol-2-yl)-2-(methylthio)thiophen-3-yl)pyrimidin-2-yl)thio)acetamide,,O=C(CSC1=NC=CC(C2=C(SC)SC(C3=NC(C)=CS3)=C2C)=N1)NC4=CC=CC=C4Cl,IC50=12¦ÌM,"Tsai KC, Chen SY, Liang PH, Lu IL, Mahindroo N, Hsieh HP,
Chao YS, Liu L, Liu D, Lien W et al.: Discovery of a novel family of
SARS-CoV protease inhibitors by virtual screening and 3DQSAR
studies. J Med Chem 2006, 49:3485-3495.",
45,"N-(4-chlorophenyl)-2-((4-(2'-methyl-[2,4'-bithiazol]-4-yl)pyrimidin-2-yl)thio)acetamide",,O=C(CSC1=NC=CC(C2=CSC(C3=CSC(C)=N3)=N2)=N1)NC4=CC=C(Cl)C=C4,IC50=14¦ÌM,"Tsai KC, Chen SY, Liang PH, Lu IL, Mahindroo N, Hsieh HP,
Chao YS, Liu L, Liu D, Lien W et al.: Discovery of a novel family of
SARS-CoV protease inhibitors by virtual screening and 3DQSAR
studies. J Med Chem 2006, 49:3485-3495.",
46,N-(4-chlorophenyl)-2-((4-(3-phenylisoxazol-5-yl)pyrimidin-2-yl)thio)acetamide,,O=C(CSC1=NC=CC(C2=CC(C3=CC=CC=C3)=NO2)=N1)NC4=CC=C(Cl)C=C4,IC50=15¦ÌM,"Tsai KC, Chen SY, Liang PH, Lu IL, Mahindroo N, Hsieh HP,
Chao YS, Liu L, Liu D, Lien W et al.: Discovery of a novel family of
SARS-CoV protease inhibitors by virtual screening and 3DQSAR
studies. J Med Chem 2006, 49:3485-3495.",
47,"2-((4-(3-(2,4-dichlorophenyl)isoxazol-5-yl)pyrimidin-2-yl)thio)-N-(4-(trifluoromethyl)phenyl)acetamide",,O=C(CSC1=NC=CC(C2=CC(C3=CC=C(Cl)C=C3Cl)=NO2)=N1)NC4=CC=C(C(F)(F)F)C=C4,IC50=15¦ÌM,"Tsai KC, Chen SY, Liang PH, Lu IL, Mahindroo N, Hsieh HP,
Chao YS, Liu L, Liu D, Lien W et al.: Discovery of a novel family of
SARS-CoV protease inhibitors by virtual screening and 3DQSAR
studies. J Med Chem 2006, 49:3485-3495.",
48,N-(4-chlorophenyl)-2-((4-(3-(2-chlorophenyl)isoxazol-5-yl)pyrimidin-2-yl)thio)acetamide,,O=C(CSC1=NC=CC(C2=CC(C3=C(Cl)C=CC=C3)=NO2)=N1)NC4=CC=C(Cl)C=C4,IC50=15¦ÌM,"Tsai KC, Chen SY, Liang PH, Lu IL, Mahindroo N, Hsieh HP,
Chao YS, Liu L, Liu D, Lien W et al.: Discovery of a novel family of
SARS-CoV protease inhibitors by virtual screening and 3DQSAR
studies. J Med Chem 2006, 49:3485-3495.",
49,"2-(2-((3R,4S,4aS,8aS)-3-((((S)-1-(1H-imidazol-4-yl)-3-oxopropan-2-yl)amino)methyl)-2-(4-bromobenzoyl)decahydroisoquinolin-4-yl)hydrazineyl)-N-((2R)-2-hydroxy-4,5-dioxohexan-3-yl)acetamide",,O=C(C1=CC=C(Br)C=C1)N2C[C@@]3([H])CCCC[C@]3([H])[C@H](NNCC(NC([C@@H](C)O)C(C(C)=O)=O)=O)[C@H]2CN[C@@H](CC4=CNC=N4)C([H])=O,IC50=26¦ÌM,Bioorganic & Medicinal Chemistry 27 (2019) 425¨C435,
50,(S)-N-((S)-1-(1H-imidazol-4-yl)-3-oxopropan-2-yl)-2-((S)-2-((S)-2-((S)-2-acetamido-3-hydroxypropanamido)propanamido)-3-methylbutanamido)-4-methylpentanamide,,CC(C)C[C@@H](C(N[C@H](C=O)CC1=CNC=N1)=O)NC([C@H](C(C)C)NC([C@H](C)NC([C@@H](NC(C)=O)CO)=O)=O)=O,IC50=5.7¦ÌM,"Akaji K, Konno H, Mitsui H, et al. J Med Chem. 2011;54:7962¨C7973.",
51,(S)-N-((S)-1-(((S)-1-(1H-imidazol-4-yl)-3-oxopropan-2-yl)amino)-3-cyclohexyl-1-oxopropan-2-yl)-2-((S)-2-((S)-2-acetamido-3-hydroxypropanamido)propanamido)-3-methylbutanamide,,CC(C)[C@@H](C(N[C@H](C(N[C@H](C=O)CC1=CNC=N1)=O)CC2CCCCC2)=O)NC([C@H](C)NC([C@@H](NC(C)=O)CO)=O)=O,IC50=65 nM,"Akaji K, Konno H, Mitsui H, et al. J Med Chem. 2011;54:7962¨C7973.",
52,"(S)-N-((S)-1-(((S)-1-(1H-imidazol-4-yl)-3-oxopropan-2-yl)amino)-3-cyclohexyl-1-oxopropan-2-yl)-2-((2S,3S)-2-acetamido-3-hydroxybutanamido)-3-methylbutanamide",,CC([C@H](NC([C@@H](NC(C)=O)[C@H](C)O)=O)C(N[C@@H](CC1CCCCC1)C(N[C@@H](CC2=CNC=N2)C=O)=O)=O)C,IC50=98 nM,"Akaji K, Konno H, Mitsui H, et al. J Med Chem. 2011;54:7962¨C7973.",
53,"(S)-2-((((3S,4aR,8aS)-2-(4-bromobenzoyl)decahydroisoquinolin-3-yl)methyl)amino)-3-(1H-imidazol-4-yl)propanal",,O=C[C@H](CC1=CNC=N1)NC[C@H]2N(C(C3=CC=C(Br)C=C3)=O)C[C@@]4([H])CCCC[C@]4([H])C2,IC50=63 ¦ÌM,"Shimamoto Y, Hattori Y, Kobayashi K, Teruya K, Sanjoh A, Nakagawa A,
Yamashita E, Akaji K. Fused-ring structure of decahydroisoquinoline as a novel
scaffold for SARS 3CL protease inhibitor. Bioorg. Med. Chem. 2015; 23: 876¨C890",
